date,symbol,calendarYear,period,cf_growthNetIncome,cf_growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,cf_growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2023-10-30,1101.TW,2023,Q3,-0.43321375814033447,0.025546501043132098,0,0,11.813888575328127,0,0.02596774717180128,0,1.0761794833415848,1.0492356415947193,0.20810757628831764,0.015310632322931027,1.0189970010986074,1.505572515420318,-0.8589830853532306,4.699612897433124,1.307573701693897,0.4357180362682367,0,0,0.0,-0.23094104238066115,2.033140736684725,6.460262870594098,2.085235149569829,0.3748977028710396,-0.2567558850856155,0.20810757628831764,0.015310632322931027,5.780635487598728
2023-07-30,1101.TW,2023,Q2,2.9043149081396376,0.011996011907857793,0,0,-0.9825311361385362,0,2.9577960751356964,0,-1.1970064074961921,-1.0024305497247834,-0.31736249828638435,0.358146663887843,0.02970884639097441,-0.2961915885757601,0.0,-0.7704984442350525,-0.038105995109192776,-1.4822263584192021,0,1,0.0,2.3920786656237447,0.2831081392654284,1.4719959518931398,-0.018640798846649632,-0.2567558850856155,-0.20131453085952314,-0.31736249828638435,0.358146663887843,2.167191514739406
2023-04-30,1101.TW,2023,Q1,-0.6108467070459895,-0.0210710445514906,0,-1,7.328125620382229,0,-0.7500748580301185,0,3.601357923070039,0.3910792929018995,1.6275849704730454,-0.35958110578729535,-3.401496322597007,0.0,1.0,-0.00759703108805882,-2.3273538273795835,0.6018576095401079,-1,0,1.0,-0.5955220356538001,-1.8250283419836504,0.5998095121318354,-1.74101926284385,-0.20131453085952314,-0.06842001790902802,1.6275849704730454,-0.35958110578729535,0.9393188048222436
2023-01-31,1101.TW,2022,Q4,0.8092385239927486,0.10120536427012931,0,0,0.1621092673245493,0,0.4837826908911085,0,-0.11217240938040379,-0.12284185608613307,1.6277000278494258,0.05317643299557789,0.0,-1.0,0.7418203646056518,0.08934631525493923,0.470756259412253,-8.509748802267648,0,0,0.9995314237788758,1.163009233245383,-2.401074083828904,-1.6719107126584853,-0.27193640092849686,-0.06842001790902802,-0.051046137391103696,1.6277000278494258,0.05317643299557789,0.4279917926224916
2022-10-30,1101.TW,2022,Q3,5.838005750431282,-0.02125383784728972,0,0,-1.7449460654012772,0,1.156807738893132,0,-1.2873183694274242,0.41137230864706126,5.1852224368564,0.013326788428942004,0.0,0.0,-3.3977250937245684,-0.18243699677305591,-6.7633076475936384,0.855637511816008,0,0,0.0,-0.6484376546280728,-0.6440916704422768,4.041559039831526,-3.0877988587540224,-0.051046137391103696,0.02506251095466588,5.1852224368564,0.013326788428942004,0.22647709872944308
2022-07-30,1101.TW,2022,Q2,-1.3709119699414134,0.10636815618341797,0,0,0.6046544393516236,0,-20.892288163507967,0,9.08342047391803,-0.9771712948815224,-1.1210820373845254,-0.13492511678691957,1.0,0.0,-0.5379531299869369,2.8967640787253743,-2.966466921953014,-0.852665199188069,0,0,0.0,0.9259527194860544,1.5996027294846438,-1.3780075682554263,-0.6448437906971971,0.02506251095466588,0.07592544504813122,-1.1210820373845254,-0.13492511678691957,-0.9824445235552391
2022-04-30,1101.TW,2022,Q1,-0.825903156959137,0.20615214478584412,0,0,-0.5118817520669041,0,1.111784870411599,0,-0.8433849052848947,0.5175904944878623,-0.6542709137670013,0.40132257168578417,-13.293478260869565,1.0,17.12968361674814,-0.7237750772120609,1.081454103484531,-0.14187047658423985,-1,-1,1.0,261.3153936449006,-0.9434121066107808,20.575490251165927,-0.7779917057761812,0.07592544504813122,0.5197423617937441,-0.6542709137670013,0.40132257168578417,-0.1824302400184654
2022-01-31,1101.TW,2021,Q4,0.2887942000343422,-0.18436148667972263,0,0,1.4451530394958554,0,-2.3699446457052753,0,2.188943739819937,-0.14398228896811757,217.53246968942037,-2.1514438847245025,1.0008565140606336,-2.6193389521259145,1.0436599465801994,3.3541428049993076,0.34176391663830175,-1.054093426103804,0,0,0.9983131197325735,-1.0021783286566444,5.258160282314344,-1.3843360267784837,5.367632620917371,0.5197423617937441,-0.10634386836130048,217.53246968942037,-2.1514438847245025,0.037584240189111245
2021-10-30,1101.TW,2021,Q3,-0.49409481113099435,0.19394000194598737,0,0,-2.0286019570940734,0,0.6278153184865118,0,-8.735913347315954,0.42286829071157606,-0.9942535504201561,0.2563660696644767,-88.06478477179321,-0.3980271139539806,-2.7476032372762527,-2.0860984789800328,-6.0484860288946285,0.10231371832794153,0,-1,0.0,4.603962931638338,3.438839759625592,1.529722092996652,-2.4076543464159057,-0.10634386836130048,0.08172059639470461,-0.9942535504201561,0.2563660696644767,-3.437569331748921
2021-07-30,1101.TW,2021,Q2,1.1303860112718749,-0.09184127102606772,0,0,-1.513440570216945,0,-4.329577278771488,0,-0.8508591470002185,-1.5144668397494951,-0.2646616767198291,-0.36157803995350546,0.2715670054360671,0.2357773889632315,-0.30146504793977685,-0.20064252230069607,-0.5236889345454017,0.16087803274647164,0,2,0.0,-0.24463357478623093,-0.20977571950168822,-14.151721747168938,-0.5214377916940783,0.08172059639470461,0.2059274883022788,-0.2646616767198291,-0.36157803995350546,-0.7085410334127796
